stage,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Primordial_germ_cell,Smooth_muscle_cell
21Day,0,1.34,0,0,0,0,0,4.02,0,0,0,0,0,0
3Month,3.2,0,1.28,2.56,0.32,0.64,0.32,0,0.96,0.32,0.32,17.28,1.28,0.64
22Month,0,0,0,1.64,0,0,0,0,1.09,0,0,0,0,0
