stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0
21Day,0,2.68,0,0,0,0,0,0,2.68,0,0,0,1.34,5.35
3Month,0.32,0,0.64,0.64,0.32,0,0.32,0.64,0,0,0,0,0,10.24
22Month,0.55,0,9.29,0.55,0,1.09,0,0.55,0,0,0.55,2.73,0,3.83
