stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,12.26,0,0,0,0,0,0,0
72hpf,0,2.14,0,1.07,0,0,0,0,1.07,0,1.07,0,0,0,29.95,9.63,0,1.07,0,0,3.21,0,0
21Day,1.34,0,0,1.34,0,0,0,0,2.68,0,5.35,0,0,0,8.03,2.68,0,0,1.34,0,0,0,0
3Month,0,0.96,0.32,0,0.32,3.52,0.96,0,0.32,0.32,1.6,0.64,0.32,0.32,0.64,0,0.96,0,0,3.52,0,2.56,0.96
22Month,0,0,0,0,0.55,6.56,1.64,0.55,0,0,1.09,0,1.09,0,0.55,0,0,0,0,1.09,0,0,0
