stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,1.07,0,0,0,2.14,1.07,0,0,0,0,0,0
21Day,0,0,2.68,0,0,0,0,1.34,1.34,1.34,8.03,2.68,0,0,0,0,0,1.34,2.68,0,5.35,1.34,0,0,0,0
3Month,0,15.68,0,0.32,0.32,1.6,0,1.6,0.64,0.64,7.68,2.88,9.28,4.16,7.68,0.64,0.32,6.72,0.32,0.32,0,0.64,11.2,1.92,0.64,3.84
22Month,0.55,1.64,0,0,0,1.09,2.19,1.64,0.55,1.09,0.55,0.55,0.55,1.64,1.09,0,0,0,0.55,0,0,0,1.09,0,0,2.19
