stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,4.09,8.17,0,0,0,0,0,24.52,0,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0,0,3.21,0,2.14,0,0,0,0,11.77,8.56,0,0,0,1.07,0,0,1.07,0,0,0
21Day,1.34,0,0,2.68,0,1.34,0,0,0,0,0,0,0,0,0,0,2.68,2.68,0,1.34,0,0,0,0,2.68,1.34,0,0,0,0,1.34,0,0,0,0,1.34
3Month,0,0.64,0,10.88,0.32,0,0.32,0,0,0.64,1.92,0,28.8,7.68,0.32,5.76,0.32,6.08,3.2,4.16,0.64,0,0.96,0.32,0.32,0,0.32,0.32,0,0.32,1.92,2.88,0,0.64,0.64,4.16
22Month,0,1.09,1.64,4.92,0,0,0.55,0,0.55,1.09,7.11,1.64,74.89,4.92,1.64,7.65,0.55,0,7.11,3.28,0,2.73,0.55,0,0,0,1.09,0,0.55,0,0,0.55,0,0,0,1.09
