stage,Epithelial_cell,Granulocyte,Hepatocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,0
3Month,0.32,0.32,1.6,0.32,0.32,0.32,8.32,0,1.92
