stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,1.07,13.91,0,1.07,0
21Day,0,1.34,0,0,0,0,0,0,6.69,0,0,1.34
3Month,0,0,0,0,0,0,0,0,0.32,0,0,0
22Month,0.55,1.09,1.09,0,0,0.55,0.55,0,0,0.55,0,0
