stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,1.07,0,0
21Day,0,0,0,0,0,0,0,0,1.34,0,0,2.68,0,0,0,0
3Month,0,0.64,0.96,0.32,0,0.32,0,1.6,4.16,0,0.96,0,0.32,0,3.84,0.32
22Month,0.55,0.55,0.55,0,0.55,0,0.55,1.64,4.37,0,0,0,0,0,0.55,0
