stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,20.43,0,0,0,0,0,0,4.09,4.09,0,24.52,0,0,0,0,32.69,0,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,25.67,0,0,0,0,0,0,0,3.21,0,25.67,0,7.49,0,9.63,2.14,0,0,7.49,0,1.07,1.07,0,0,0
21Day,1.34,2.68,0,17.4,0,0,0,0,0,0,0,13.39,0,12.05,0,18.74,0,1.34,0,0,0,13.39,1.34,0,0,1.34,0,0
3Month,0.32,8.32,0.32,8,0.32,0,1.92,0,0,1.92,0,2.24,0.96,9.28,0.64,0.32,0.64,0,0,0.32,0,5.44,1.6,4.8,0,23.04,0.96,0.64
22Month,0,3.28,2.73,2.19,2.19,1.09,3.83,0.55,0.55,3.28,0,0,3.83,7.11,0,1.09,0,0,0,0,27.88,0,0,11.48,0.55,3.83,0,0.55
