stage,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,T_cell
24hpf,0,0,0,4.09,0,4.09,0,0
72hpf,1.07,1.07,2.14,1.07,1.07,0,0,0
21Day,0,2.68,0,0,0,1.34,1.34,1.34
