stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,4.09,4.09,0,0,8.17,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,2.14,0,1.07,7.49,6.42,0,0,0,0,1.07,3.21,1.07,2.14,0,0,0
21Day,0,1.34,0,1.34,0,0,0,0,1.34,0,0,0,8.03,1.34,0,0,1.34,0,1.34,6.69,17.4,0,0,0,0
3Month,0,0,0.96,0,0.32,0.32,0,0.32,0,0.32,0.32,0.32,0.32,0,0.32,0,0,16.32,0,0.32,0,0,0.64,3.84,1.28
22Month,0,0,0,0,0,0.55,1.09,0,0,0,0,0,0,0,1.09,0,0,3.28,0,7.11,0,0,0,0.55,0
