stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,8.17,0,0,0,0,0,0,4.09,4.09,4.09,0,0,0,53.12,0,0,0,0
72hpf,0,0,0,1.07,1.07,0,0,1.07,0,0,1.07,2.14,0,2.14,0,3.21,5.35,0,2.14,0,2.14
21Day,2.68,0,0,1.34,1.34,2.68,0,1.34,0,0,0,2.68,2.68,0,0,5.35,2.68,0,4.02,0,1.34
3Month,0,0.32,0,0.32,0,0,0.32,0,0.32,0.32,0,0.32,0,0,1.28,0.32,0.32,0,0,0.32,0
22Month,0,0,1.09,0,0,0,1.64,0,0.55,0,0.55,0,0.55,0,0,0,0,0.55,0,0,0
