stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,13.91,7.49,1.07,0,0,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,1.34,0,1.34,0,4.02,0,1.34,0,5.35,1.34,0,0,0,2.68,0,5.35,0,0,2.68
3Month,0,0.32,0.32,2.56,0.32,0.64,0.32,0.96,0.64,0.32,0,0.32,0,0.32,1.28,0.64,0,0.32,0.32,0,0.64,0.32,0.32,2.24,0,0,0.32,1.28,30.72
22Month,0,0,0,0.55,0,0,1.64,3.28,0.55,0.55,0,0,0,0.55,0.55,0,0,0,0.55,0,0,0,0,0,0.55,0,0,0,38.27
