stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,2.68,0,1.34,0,0,4.02
3Month,0.32,0.64,0.32,0.32,0,0.96,0.32,0.32,0.32,7.68,2.24,5.44
22Month,0,0,0,0,0.55,0,0,0,0,0,0,2.73
