stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,24.52,0,0,0,0,4.09,32.69,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,2.14,1.07,2.14,0,0,0,44.93,8.56,1.07,0,0,0,0,0,1.07,0,0,4.28,0,0
21Day,5.35,0,0,8.03,0,0,0,0,0,0,0,0,0,1.34,2.68,10.71,1.34,0,0,0,20.08,5.35,2.68,0,0,1.34,1.34,0,0,5.35,1.34,1.34,0,0
3Month,0.64,0.64,0.64,18.24,0.32,0.32,0.96,7.04,0.96,0,5.12,3.52,2.24,9.28,1.28,20.16,7.04,19.84,1.28,8.64,3.84,0.32,6.4,0.32,0,0.32,0.64,3.2,0,0,0,0,1.92,2.56
22Month,0,0.55,1.09,22.41,0,0.55,0,3.28,5.47,1.64,32.8,1.64,4.92,3.83,1.09,12.57,9.84,4.37,2.73,1.09,5.47,0,18.04,0.55,0.55,0,0.55,3.28,0.55,2.73,0,0,0.55,0.55
