stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,16.35,0,0,0,0,8.17,159.37,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,1.07,5.35,0,11.77,3.21,4.28,0,0,0,0,0,0,0,0,0,8.56,20.33,3.21,22.47,0,1.07,0,1.07,57.77,60.98,0,1.07,19.26,1.07,0,34.23,1.07,2.14,0,0,0
21Day,8.03,4.02,1.34,46.85,0,14.72,0,8.03,0,1.34,0,1.34,0,8.03,2.68,5.35,20.08,10.71,78.97,0,0,6.69,1.34,28.11,28.11,1.34,1.34,22.76,8.03,0,10.71,9.37,1.34,0,0,8.03
3Month,0,0,0.96,11.2,0,0,0.96,0,0.32,2.56,0,14.4,2.88,0.32,8,0.64,2.88,3.84,2.56,1.28,0,1.6,0.64,0.96,0.64,0.32,0.96,0.32,0,3.84,0.32,0,0.32,0.64,5.44,5.12
22Month,0.55,1.09,2.73,8.2,0.55,0,0.55,0,2.73,18.59,6.56,84.18,4.37,0.55,15.85,0.55,1.64,11.48,5.47,0,4.37,0.55,0,0,0.55,1.09,1.09,0.55,0.55,1.09,1.09,0,0,0,0,5.47
