stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,3.21,0,0,1.07,0,0,0,0,0,0,0,2.14,0,0,1.07,1.07,2.14,0,0,1.07,0,1.07,14.98,0,3.21,0,0,0,0,0,0,0,0,0
21Day,2.68,1.34,0,26.77,5.35,0,5.35,0,0,0,0,0,133.85,0,0,9.37,5.35,8.03,0,0,0,0,10.71,2.68,0,4.02,2.68,0,2.68,0,1.34,1.34,0,0,132.51
3Month,0.32,2.88,0.32,8,0,0.32,0,1.28,0.64,0,16.32,2.24,7.68,2.88,0.96,2.88,3.52,4.48,0.32,0,0.96,2.88,0.32,0,0.32,0,0.96,4.8,0,0,0,0,0.96,19.2,136.94
22Month,0,4.92,0,4.37,0,0.55,0,0,1.64,0.55,36.08,1.64,2.73,4.92,0,1.09,3.28,3.28,0,0.55,0,0,0.55,0,0.55,0,0.55,2.73,0,1.09,0,0,0,0,38.27
