stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,1.07,0,0,0,0
21Day,2.68,1.34,1.34,0,0,0,0,0,1.34,0,4.02,0,0,1.34,0,1.34,0,4.02,0
3Month,0.96,0,0,0.96,0,0,1.28,0,1.28,0.64,0.64,0.64,0.32,0,0,0.32,0.32,3.52,3.2
22Month,0.55,0,0,0.55,1.64,0.55,0.55,0,0.55,1.64,0,0,0,0,0.55,0,0,7.65,0
