stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
24hpf,4.09,4.09,12.26,0,8.17,0,0,0,0,0,4.09,8.17,16.35,0,0,8.17,216.58,0,4.09,0,0,0,0
72hpf,1.07,2.14,2.14,1.07,0,0,0,0,1.07,0,2.14,0,1.07,3.21,0,0,16.05,0,3.21,0,0,0,0
21Day,4.02,1.34,1.34,0,0,2.68,0,0,1.34,2.68,0,0,14.72,0,1.34,1.34,21.42,0,6.69,0,0,2.68,0
3Month,0,0,1.6,0,0,8.32,0.32,0,0,0,0.32,0,0.32,0,0,0,0,0.32,0,0.32,0,0,0.32
22Month,0,0,0.55,0,0,4.92,0,0.55,0,0,0,0,0.55,0,0,0,0,0.55,0,0,0.55,0,0
