stage,Erythrocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,4.09,4.09,0,4.09,0
72hpf,1.07,1.07,5.35,0,0,1.07
21Day,0,0,6.69,1.34,0,0
