stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,0,0,0,16.05,1.07,18.19,4.28
21Day,0,1.34,1.34,1.34,0,0,0,1.34,10.71,0,16.06,16.06
3Month,0,0,0,0,0.32,0,0.32,0,0,0,0.64,0
22Month,0.55,0,0,0,0,0.55,2.73,0.55,0.55,0,24.6,0
