stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0
3Month,5.44,0.32,0.64,0.32,0,0.64,0.32,0.32,0.32,6.08,43.19,0.32,3.2,2.24,0.64
22Month,0,0,1.09,0,1.64,0,0,0,0,0,20.77,0,0,0,0
