stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,36.78,0,0,0,0,0,0,0,0,0,4.09,28.6,0,0,0,36.78,445.42,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,2.14,5.35,2.14,1.07,2.14,2.14,0,0,0,0,2.14,2.14,1.07,23.54,0,0,0,85.58,86.65,0,3.21,0,40.65,0,0,9.63,0,0,6.42,0,0,0
21Day,5.35,4.02,18.74,4.02,1.34,1.34,1.34,1.34,0,1.34,0,5.35,5.35,58.9,0,1.34,0,65.59,53.54,0,0,0,44.17,1.34,0,5.35,1.34,2.68,2.68,0,0,2.68
3Month,0.96,0.96,2.24,0,0,8.96,1.92,1.6,0.96,0.64,0,0.64,1.92,7.04,0.64,0,0.32,0.32,0,0.32,0.32,0,2.24,0,0.64,0,0,0,0,0.32,2.24,0.96
22Month,0,0.55,4.92,0,0,25.69,17.49,4.37,1.64,0.55,0.55,0,6.01,7.65,0,0,0,1.09,0,0.55,0.55,0.55,1.09,0,0,0,0,0,0,0,0,0.55
