stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,1.07,0,0,0,0,0,0,0,0,0,0,0,4.28,0,47.07,0,0,5.35,0,17.12,4.28,0,0,0,217.17,0,0,3.21,0,0,2.14,0,0,0
21Day,1.34,0,0,9.37,8.03,0,0,0,0,0,0,0,1.34,0,0,1.34,2.68,293.14,1.34,0,9.37,0,18.74,1.34,0,0,0,133.85,5.35,0,0,1.34,1.34,0,0,0,0
3Month,1.28,2.88,0,8,0,1.28,21.12,0.96,14.08,0,8.96,3.52,0,3.52,0.64,2.24,4.16,398.66,83.83,0,16.32,1.28,1.28,0,1.28,0.64,0,16.64,2.56,3.2,0.32,0,0,2.56,3.2,0.96,1.6
22Month,0,3.28,1.09,4.37,0,0,6.56,1.09,3.83,15.85,23.51,1.09,0.55,2.19,0,0.55,2.73,242.71,7.65,1.09,4.92,0,2.73,0,0,0.55,0.55,16.95,0.55,0.55,0,0.55,0,0.55,1.64,0,1.64
