stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,0,1.34,0,0,1.34,0,2.68,0,0,0,0,0,0,0,0,0,0
3Month,1.6,0.96,0,0.32,21.76,1.6,3.2,0.32,0.64,14.4,1.92,0,1.28,0.32,0,0,0.32,3.2,6.08,1.92
22Month,1.09,1.09,0,0,44.28,7.65,2.73,1.09,0,14.76,0.55,0.55,0,0,0.55,0.55,0,0,0,0.55
