stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,8.17,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,1.07,0,0,0,1.07,5.35,0,1.07,0,0,0,0,0
21Day,0,4.02,0,0,0,0,0,1.34,2.68,1.34,1.34,1.34,0,1.34,0,0,0,0
3Month,0,0.32,0,0,0.64,0,0.96,0,0.64,0.32,0,0,0,0.32,3.2,0.32,0.32,0.32
22Month,0,0,0,2.19,1.09,0,0,0.55,1.09,0,0,0,0,0,1.64,0,0,0
