stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,1.07,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,2.68,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,2.68,1.34,0,0,0
3Month,0.32,2.56,4.16,14.72,3.2,0.64,0.32,1.6,5.12,0.64,1895.7,7.04,0,18.56,1.92,7.36,2.24,8.64,1.6,4.16,6.08,1.92,0,0,0.96,1.92,0,0.32,22.08,2.88,1.28,0,0,0.32,1.28,0.64,2.88
22Month,4.92,16.4,13.12,32.8,22.96,1.09,1.09,4.37,36.63,6.01,13732.51,16.95,2.73,48.65,2.73,3.28,25.15,45.37,1.64,305.03,15.31,1.64,3.28,0,4.92,8.2,11.48,1.09,16.4,6.01,6.56,6.56,0,0,1.09,0,14.21
