stage,Cardiomyocyte,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,4.09,0,0,4.09,0,36.78,0,0
72hpf,0,0,0,4.28,2.14,0,1.07,1.07
21Day,0,0,1.34,1.34,0,0,4.02,0
3Month,0,0.32,0,0.32,0,0,0,0
