stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cell
72hpf,0,0,0,0,8.56,1.07,5.35,1.07,0,0,1.07
21Day,8.03,2.68,1.34,0,4.02,9.37,13.39,0,1.34,1.34,0
22Month,0.55,0,0,1.09,0,1.09,0,0,0,0,0
