stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulosa_cell,Hepatocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,T_cell
24hpf,61.3,0,0,0,0,4.09,0,0,89.9,0
72hpf,0,1.07,0,0,0,1.07,1.07,2.14,1.07,0
21Day,1.34,0,0,0,0,0,0,0,0,1.34
3Month,0,0.32,0.64,0,0.96,0,0,0,0,0.32
22Month,0,1.64,0,0.55,0,0,0,0,0,0
