stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,53.12,12.26,0,0,0,0,0,0,0,0,0,8.17,4.09,0,69.47,0,0,4.09,4.09,24.52,809.11,4.09,0,24.52,0,0,0,0,0,0,0,0
72hpf,11.77,2.14,10.7,7.49,90.93,0,0,0,0,0,0,0,0,5.35,20.33,1.07,47.07,0,0,0,0,78.09,114.47,1.07,0,43.86,0,0,19.26,0,0,3.21,0,0
21Day,2.68,0,18.74,2.68,21.42,0,1.34,0,0,0,0,1.34,1.34,0,4.02,0,26.77,0,0,1.34,0,16.06,34.8,0,0,8.03,5.35,9.37,2.68,1.34,1.34,1.34,0,0
3Month,0.64,0,15.36,0.64,0,0.32,0,0,0.96,4.8,1.92,0.32,1.92,5.76,5.76,0.64,2.88,0.32,0,0.96,0.96,3.52,0.32,0,0,0,0.96,91.19,0.64,0,0,0.64,31.99,1.6
22Month,0.55,0,9.29,0.55,0,0,0,0.55,0.55,13.12,0.55,0,0,0,2.73,1.64,3.83,0,0.55,0,0.55,1.09,0,0,6.56,0,0,47.56,0.55,0,0,0,0,0
