stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,12.26,0,0,0,0,0,0,0
72hpf,0,4.28,1.07,2.14,0,0,0,0,0,0,0,0,1.07,0,0,3.21,0,0,220.38,7.49,0,4.28,0,0,3.21,0,0
21Day,0,9.37,0,2.68,1.34,0,0,0,0,0,1.34,1.34,1.34,1.34,0,13.39,0,0,116.45,6.69,1.34,2.68,4.02,0,0,0,0
3Month,0,2.24,0,0,0,0.32,0.64,0,4.8,1.28,0,1.6,0.32,0.32,0.32,1.92,0.32,0.32,0.96,0,0.64,0,0,11.52,0,1.28,0.32
22Month,0.55,0.55,0,0,0,0,0,1.09,13.12,1.09,0.55,1.64,0,0.55,0,2.19,0,0,1.09,0,0.55,0,0.55,1.09,1.09,0,0.55
