stage,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Hepatocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte
24hpf,0,0,0,0,0,0,4.09,12.26,0
72hpf,1.07,1.07,0,0,0,0,6.42,2.14,0
21Day,1.34,0,1.34,0,2.68,1.34,0,2.68,1.34
3Month,0,0,0,0.64,0,0,0,0,0.32
