stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
24hpf,85.81,0,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,53.49,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,22.76,1.34,1.34,0,0,1.34,0,0,1.34,1.34,0,0,1.34
3Month,3.2,0.64,0,0.32,1.6,0,0.32,0.32,0.32,0,0,1.28,0.32
