stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,0,0,8.17,0,0,0,0,24.52,0,0
72hpf,1.07,0,0,0,0,1.07,0,1.07,10.7,3.21,2.14,7.49
21Day,0,0,0,0,0,1.34,0,0,5.35,5.35,0,0
22Month,0,0.55,1.64,0.55,0,0,0.55,0,0.55,0,0,0
