stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,4.09,0,24.52,0,0,0,0,0,0,0,0,0,0,4.09,8.17,12.26,61.3,0,0,0,4.09,147.11,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,7.49,3.21,0,0,0,0,0,2.14,0,0,0,1.07,13.91,2.14,14.98,0,1.07,0,5.35,4.28,0,0,0,8.56,2.14,0,4.28,0,0,0,0
21Day,4.02,2.68,0,12.05,0,2.68,0,0,2.68,0,0,0,1.34,0,1.34,9.37,6.69,9.37,0,0,5.35,1.34,0,0,1.34,0,6.69,5.35,2.68,1.34,2.68,0,0,9.37
3Month,0.96,0.96,0.32,7.68,0,0,0.32,0,0.64,0.32,5.12,2.56,0,1.92,0,1.6,7.68,8.64,6.08,0,0.64,0.32,0,0,0,0,0.32,0.64,11.2,0.32,0,0.96,2.56,32.31
22Month,0,2.19,0,11.48,0,0,0,0.55,1.64,3.83,44.83,4.92,2.19,1.64,0,1.09,19.68,21.32,0,5.47,1.64,1.09,0,4.37,2.73,1.09,0,0.55,0,1.64,0,1.09,0,13.12
