stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,4.09,0,0,20.43,0,0,0,89.9,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,2.14,3.21,0,3.21,0,0,36.37,8.56,0,0,6.42,0,0,2.14,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,4.02,0,0,10.71,2.68,0,0,2.68,2.68,0,0,0,1.34
3Month,0,0.64,0.32,3.52,0,0.32,0,0,2.88,0.32,0.32,0.64,0,0.64,0.64,1.92,0.32,0.32,0.64,0,0.96,0.64,0,0.64,47.99,0,0.64,34.87
22Month,0,0.55,0,2.19,0.55,0,0.55,0.55,1.64,1.64,1.09,0,0,0,0.55,1.64,0.55,0.55,0,0,0.55,1.09,0,0,7.11,0,0,0
