stage,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Retinal_pigment_epithelial_cell
72hpf,0,1.07,0,0,0,0,1.07,0,0,0,0,0,2.14,1.07
21Day,0,1.34,0,0,0,0,0,0,0,2.68,1.34,1.34,0,0
3Month,0.64,0,0,0.64,0.32,1.92,0,0.32,0,0,0,0,0,0.32
22Month,0,0,0.55,0.55,0,1.64,0,0,0.55,0,0,0,0,0
