stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,424.99,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,3.21,0,0,5.35,0,0,0,0,0,1.07,1.07,39.58,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,28.11,0,0,4.02,0,0,0,0,62.91,2.68,0,0,0,0,1.34,0,0,1.34,1.34,0,0,0,0,0,0,0
3Month,0.96,0.64,0.64,9.6,0.32,0,1.28,3.2,302.99,0,18.88,410.81,0,8.96,2.24,3.52,175.01,8.96,2.56,1.6,1.6,1.6,0,0.64,0.64,0.32,2.56,1.28,4.16,0,0.32,2.88,7.04,3.52
22Month,0,1.09,0,5.47,0,0,2.19,1.09,362.98,0.55,19.68,47.01,0.55,1.09,0.55,0.55,208.82,3.83,0,0,0,0.55,0,0,1.09,0.55,2.19,0,1.09,1.09,1.09,0.55,0,1.09
