stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,2.14,0,0,0,3.21,0,5.35,0,3.21,4.28,0,0,8.56,0,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,1.34,0,25.43,4.02,4.02,0,1.34,2.68,10.71,1.34,0,1.34,4.02,0,0,1.34
3Month,0,0,0.32,0,0,0.64,0.64,0.32,0,2.56,0.32,0,0,0,0,0,0.32,1.28,0,0,0.32,1.28,0
22Month,0,0.55,0,0,0.55,1.09,0.55,0,1.09,1.09,0,0,0,0,0.55,0,0,0.55,0,0,0,0,0
