stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,1.07,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,10.7,0,0,0,0,3.21,2.14,0,0,0
21Day,0,0,1.34,2.68,0,0,0,0,0,0,0,1.34,1.34,1.34,0,1.34,0,12.05,0,1.34,0,1.34,2.68,0,0,0,1.34
3Month,0,0,3.52,0,0.64,0.64,0,4.8,0.64,1.6,2.24,2.56,0.96,1.28,0.32,0.64,0.32,0,0.32,0.64,2.56,0,0,0,0.64,2.24,0.96
22Month,0.55,0.55,2.73,0,0,2.19,1.09,19.13,0,2.73,0,0,1.64,0.55,0,0.55,0,1.09,0,0.55,0,0,1.09,0,0,0,0.55
