stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,4.09,20.43,8.17,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,2.14,1.07,0,0,0,0,0,0,0,0,0,3.21,6.42,1.07,3.21,0,0,0,0,16.05,1.07,0,0,7.49,0,0,2.14,0,0,0,0
21Day,1.34,0,0,12.05,0,0,0,1.34,1.34,0,0,0,1.34,0,0,1.34,2.68,1.34,0,0,1.34,0,1.34,1.34,0,0,0,0,0,0,1.34,0,0,1.34
3Month,0,1.6,0.64,16,0,0.32,0.32,2.56,3.2,0,28.16,1.28,0.32,8.32,2.56,5.12,7.04,7.04,0.64,0.32,0.64,1.28,0.96,0.32,1.28,1.6,0,1.28,32.63,0.32,0,4.48,10.56,9.6
22Month,0,1.64,1.09,5.47,0,0,0,2.19,3.83,1.64,78.72,1.09,0,4.92,0.55,1.64,7.65,6.01,0.55,0.55,0.55,0.55,0,0,0,2.19,0,0,3.28,0.55,0,0.55,0,7.11
