stage,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mt_rich_cell,Muscle_cell,Pancreatic_cell,Primordial_germ_cell
3Month,0,0.32,0,0,0,21.44,0.32,0.32,0.32,0.64,0,0.32,0.32,0
22Month,0.55,0.55,0.55,0.55,0.55,56.85,0.55,1.09,0,0,1.09,0,0,1.09
