stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,1.07,6.42,0,0,0,0,0,0,0,0,0,0,1.07,3.21,1.07,5.35,0,0,284.56,7.49,0,5.35,4.28,0,0,2.14,0,0,2.14,0,0
21Day,5.35,1.34,6.69,1.34,6.69,2.68,0,0,0,0,0,0,1.34,1.34,0,9.37,0,44.17,0,1.34,204.8,4.02,1.34,10.71,8.03,2.68,1.34,4.02,4.02,4.02,0,0,0
3Month,0,0.32,1.28,1.6,0,0.32,0,0.32,0.64,0,4.16,0.64,0.64,0.96,1.28,5.12,0,11.52,3.2,0.32,2.24,0,0.64,0.64,0,0,1.92,9.28,0,0,0,0.96,0.32
22Month,0,0.55,2.73,0,0,0,0.55,0.55,0.55,0.55,15.85,0.55,2.19,1.09,0,0.55,2.73,4.37,0,0,5.47,0,0,2.19,0,0.55,6.01,15.85,0.55,0,0,0,0.55
