stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Radial_glia
24hpf,0,0,0,0,0,0,8.17,0,0
72hpf,0,0,0,0,0,3.21,2.14,0,0
21Day,0,0,0,0,0,13.39,0,0,1.34
3Month,0.64,0.32,0.32,0.32,0,10.88,0,0.32,0
22Month,0.55,2.19,0,0,0.55,0,0,0,0
