stage,Epithelial_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,28.6,0,0
72hpf,0,1.07,0,0,0,0,1.07,0,1.07,3.21,0,0
21Day,0,0,0,0,0,0,0,5.35,0,4.02,0,0
3Month,0.64,0,1.28,0.32,0.32,0.32,0.32,1.28,0,0,0.64,7.04
22Month,0,0,2.19,0,0,0,0,0.55,0,0,0,0
