stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,21.4,0,0,0,97.35,5.35,0,0,5.35,0,0,1.07,9.63,19.26,1.07,0,0
21Day,2.68,0,1.34,5.35,0,13.39,0,2.68,0,0,1.34,0,4.02,0,2.68,0,2.68,4.02,1.34,61.57,0,4.02,0,179.36,5.35,0,0,2.68,8.03,4.02,1.34,14.72,32.12,2.68,0,4.02
3Month,0,0,0.32,8,0.64,0,0,0.64,2.88,2.88,3.52,0,24.64,1.6,0.96,5.12,1.6,1.92,3.84,39.35,1.28,1.28,0.64,2.24,0,1.6,0.32,0.32,0.64,36.47,0.96,0,0,0,3.52,4.16
22Month,0.55,1.09,0.55,7.11,0,0,0.55,0.55,0,2.19,6.01,0.55,56.85,4.37,0.55,3.28,0,1.64,4.92,9.29,0,1.09,0,7.65,0,1.09,0.55,0,0.55,34.99,2.73,0.55,0,0,0,1.64
