stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,3.21,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,268.52,6.42,0,5.35,0,2.14,8.56,8.56,0
21Day,0,2.68,2.68,0,0,0,1.34,1.34,2.68,0,1.34,1.34,1.34,1.34,111.1,9.37,1.34,2.68,1.34,0,18.74,20.08,0
3Month,0,0.64,0,0.32,0,0,0.96,0,0,0,0,0,0,0,0,0,0.32,0,0.32,0,0,0,0.32
22Month,0,3.28,0,0.55,1.64,2.19,15.31,1.09,0,0.55,0,0.55,1.09,0,0.55,0,0.55,0,0.55,0,0,0,0.55
