stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,16.35,4.09,0,0,0,0,0,0,8.17,0,0,0,0,0,32.69,0,4.09,0,4.09,49.04,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,0,27.81,9.63,2.14,0,0,0,0,0,0,0,0,0,0,82.37,0,8.56,0,452.52,19.26,0,3.21,13.91,0,0,4.28,6.42,1.07,3.21,0,0,0
21Day,10.71,0,104.41,10.71,13.39,0,1.34,1.34,0,0,2.68,0,4.02,2.68,4.02,74.96,2.68,24.09,18.74,394.87,12.05,4.02,1.34,16.06,17.4,1.34,4.02,2.68,6.69,0,0,0,2.68
3Month,0,1.6,34.55,0.32,0,0.32,0,1.28,1.28,0,6.4,0.96,0.32,1.92,0.64,5.44,1.6,0.96,20.16,0.32,0.32,0.96,0,0.32,0.32,3.52,0.64,0,0,0,0.96,0.96,0.96
22Month,0,11.48,8.75,0,0,0.55,0,0.55,0.55,0,37.17,2.19,0.55,2.19,0.55,0,2.73,2.73,4.92,1.09,0,0.55,0.55,0,0,0.55,1.09,0,0,0,0,0,1.09
