stage,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Pancreatic_cell
72hpf,1.07,0,0,0,2.14,3.21,0
3Month,0,0.32,0,0.32,0,0,0
22Month,0,0,0.55,0,0,0,0.55
