stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,12.26,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,8.17,114.42,0,0,8.17,0,0,0,0,0,0,0
72hpf,6.42,4.28,4.28,1.07,1.07,0,0,0,0,0,0,0,0,2.14,1.07,23.54,0,0,0,10.7,20.33,0,0,17.12,0,0,1.07,0,4.28,0,0
21Day,6.69,2.68,2.68,0,1.34,0,0,0,1.34,0,1.34,0,0,5.35,0,44.17,0,1.34,0,4.02,2.68,1.34,0,5.35,1.34,0,5.35,1.34,1.34,0,0
3Month,0,5.12,3.84,0,0,0,0,0,3.52,0.64,0,1.28,0.96,1.28,0.96,8,1.6,2.24,0.32,0,0.32,0.32,0,0,0.32,0.64,0.32,0,0,3.84,0.64
22Month,0.55,3.83,1.64,0,0,1.09,2.19,2.73,15.85,0,0,0.55,0.55,0.55,2.19,6.56,0.55,0,0,0,0,0,0.55,0.55,0,2.19,0,0,0,0,0
