stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,44.95,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,2.14,13.91,0,0,0,0,0,0,0,0,6.42,8.56,1.07,2.14,0,0,0,7.49,7.49,1.07,3.21,0,0,2.14,0,0,0,0
21Day,6.69,0,2.68,5.35,24.09,1.34,0,0,0,0,0,1.34,0,1.34,8.03,4.02,8.03,1.34,1.34,0,5.35,6.69,0,6.69,0,1.34,1.34,0,0,0,1.34
3Month,0,0,0.32,3.52,1.28,0,0.32,0.64,0,12.8,0.64,0,2.56,0.32,1.28,0.96,0.96,0,0,0,0.32,0,0.64,0,0.64,6.08,0.32,0,0.64,0.96,1.28
22Month,0,1.64,0,3.28,1.09,0,0,0,0.55,48.11,1.09,0,9.29,0,1.64,1.09,2.19,1.09,0,0.55,0,0,1.09,0,0,1.64,0.55,0.55,0,0,1.09
