stage,Enterocyte,Epithelial_cell,Erythrocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia
24hpf,0,0,0,0,0,0,12.26,0,0,0
72hpf,0,0,1.07,0,0,8.56,1.07,1.07,0,0
21Day,1.34,4.02,0,12.05,0,2.68,1.34,0,0,1.34
3Month,0,0.64,0,0,0.32,0,0,0,0.32,0
