stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0
3Month,0,2.24,0.32,0.32,1.92,1.28,1.28,0,0.32,0.96,0.32,0,0.96,0.32,0.32,0.96,107.18,0.64,85.75,1.28
22Month,0.55,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,7.11,0,0,0
