stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,5.35,0,0,0,1.07,0,0,0
21Day,1.34,0,0,1.34,0,1.34,0,2.68,0,0,0,0,0,0,0,0,1.34,2.68,0,0,1.34,4.02,0,0,1.34,0,0,0,0
3Month,0,1.6,0.32,6.08,0,0,0.64,0,3.2,2.24,0,2.56,1.28,0,1.28,5.12,1.6,2.56,0.64,1.28,0.32,0,0.96,0.32,47.99,0,1.28,24,3.2
22Month,0.55,1.64,0,2.19,0.55,0,0.55,0,0.55,0,0.55,3.28,0.55,0.55,0.55,1.09,0,1.09,0,0,0,0,0,0,9.84,0,0.55,0,1.64
