stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Nephron_cell,Neurosecretory_cell,T_cell
24hpf,0,0,0,0,0,0,20.43,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0
21Day,0,1.34,0,0,1.34,0,0,0,0,1.34,1.34
3Month,0.64,0,0.64,0.32,13.44,0.32,0,0,0,2.24,1.28
22Month,0,0,0,0,1.64,0,0,0.55,0.55,1.09,0.55
