stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,6.42,0,0,0,0,0,0,1.07,3.21,0,0,0,0,1.07,4.28,1.07,0,0,0,0,1.07,0,0
21Day,1.34,0,4.02,0,0,0,0,0,0,0,0,0,2.68,0,0,0,2.68,1.34,1.34,0,0,1.34,0,0,0
3Month,0,0.64,11.84,0.32,0.32,3.2,6.4,1.6,7.36,0.64,2.88,1.28,0.96,0.96,0,4.48,0.64,0,2.88,0.32,0.96,109.42,0,40.63,0.64
22Month,0,0.55,2.73,0,0,0.55,2.19,0.55,4.92,0,0.55,0.55,0.55,0,0.55,0,0,0,1.09,0,0,27.33,0,0,0
