stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,4.09,4.09,0,12.26,0
72hpf,2.14,1.07,1.07,1.07,1.07,2.14,7.49,3.21,0
21Day,1.34,0,2.68,0,5.35,2.68,0,0,1.34
3Month,0,0,0.64,0,0,0,0,0,0
