stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.95,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,1.07,0,0,0,0,0,0,0,1.07,0,2.14,0,0,0,142.28,8.56,0,5.35,0,0,1.07,0,0,0
21Day,4.02,0,6.69,8.03,0,0,1.34,4.02,2.68,5.35,6.69,4.02,6.69,0,0,0,252.98,4.02,0,4.02,1.34,0,1.34,0,0,0
3Month,0,0,1.28,0,0.64,3.2,0.32,0,0.32,0,0,0.64,0.32,0.32,0,0.64,11.2,0,0.32,0,0,1.28,0,0.32,1.28,0.32
22Month,0,0.55,2.19,0,1.09,3.83,0,0.55,3.28,0,0,1.64,0,0,1.09,0,1.09,0,1.09,0,0,0,0,0,0,0.55
