stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,0,0,0,0
3Month,0.32,3.84,0,0.96,2.24,7.68,0.96,2.56,0.32,0.64,0.32,1.28,0.32,0,0,0.64,1.28,0.32,2.88,0.32,253.72,0.96
22Month,0,0.55,0.55,0,0,3.83,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0
