stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_progenitor_cell,Pancreatic_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,6.42,0,0,0,0,1.07,0,0,0
21Day,16.06,0,0,0,0,0,0,6.69,0,0,0,0,0,2.68,0,0
3Month,54.39,0.32,0.32,0,1.92,0.96,1.28,40.31,0.96,0.32,0.32,0.32,0,0.32,0.64,0.32
22Month,8.75,0.55,0,0.55,1.64,0,0.55,5.47,0,0,0.55,0,0,0,0,0
