stage,Epithelial_cell,Hepatocyte,Macrophage,Osteoblast,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,1.07,0,0
3Month,0,0.32,0.32,0,0.64,0.96
22Month,0.55,0.55,0,0,0,0
