stage,Epithelial_cell,Hepatocyte,Ionocyte,Neural_cell,Neurosecretory_cell,Primordial_germ_cell
72hpf,1.07,0,0,0,0,0
3Month,0.32,2.24,0.32,0.32,0.64,0.64
22Month,0.55,2.19,0,0,0,0
