stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,1.07,0,1.07,2.14,0,0,0,0,0
21Day,0,1.34,0,0,0,1.34,0,0,0,1.34,0,2.68,0,0,0,0,1.34,0
3Month,0,0.96,0,0,0,0,4.16,0.32,0.64,0,0,0,0,0,0,0.32,0,0.32
22Month,0.55,5.47,0.55,0.55,0.55,3.83,77.62,0,0,1.09,1.64,0,0.55,0,0,0,0,0
